easyjet,positive,1.00E+17,Tue Oct 18 21:02:20 +0000 2011,easyjet is biggest airlines
easyjet,positive,1.00E+17,Tue Oct 18 20:40:10 +0000 2011,Thank you for email
easyjet,negative,1.00E+17,Tue Oct 18 19:30:39 +0000 2011,shame you will not let me cancel my flight
easyjet,negative,1.00E+17,Tue Oct 18 19:07:11 +0000 2011,how come three weeks delay
easyjet,negative,1.00E+17,Tue Oct 18 18:37:41 +0000 2011,I am sorry that you have problem
easyjet,positive,1.00E+17,Tue Oct 18 18:14:01 +0000 2011,Happy weekend!
easyjet,positive,1.00E+17,Tue Oct 18 17:01:58 +0000 2011,went home early
easyjet,positive,1.00E+17,Tue Oct 18 15:56:32 +0000 2011,Have a lovely flight
easyjet,positive,1.00E+17,Tue Oct 18 15:50:05 +0000 2011,Enjoyed making cake
easyjet,positive,1.00E+17,Tue Oct 18 15:41:41 +0000 2011,Tavel cabin crew was luckey
easyjet,positive,1.00E+17,Tue Oct 18 15:25:35 +0000 2011,Fabulous news for easyJet flyers
easyjet,negative,1.00E+17,Tue Oct 18 15:14:30 +0000 2011, I am sorry to hear that.
easyjet,positive,1.00E+17,Tue Oct 18 15:01:37 +0000 2011, Thanks for all your hard work
easyjet,positive,1.00E+17,Tue Oct 18 14:21:47 +0000 2011,The best Black Friday flight deals and airline sales
easyjet,positive,1.00E+17,Tue Oct 18 13:24:57 +0000 2011, Managed to get it back  thanks so much!!!!! 
easyjet,negative,1.00E+17,Tue Oct 18 06:18:01 +0000 2011, shame on you
easyjet,negative,1.00E+17,Tue Oct 18 03:41:23 +0000 2011,flight has been rescheduled 
easyjet,negative,1.00E+17,Tue Oct 18 02:05:18 +0000 2011,Emergency diverting
easyjet,positive,1.00E+17,Tue Oct 18 01:50:17 +0000 2011,Ryanair easyjet and Norwegian airlines are the best flights
easyjet,negative,1.00E+17,Tue Oct 18 01:30:56 +0000 2011,Flight from Alicante to London was delayed due to a technical issue
